active_guide_count,angular_uniformity_error,assignment_status,assignment_switch_count,assignment_valid,boundary_confidence_status,boundary_v2_method,boundary_v2_status,boundary_valid,config,coverage_ratio,deployment_valid,environment,episode_control_steps,episode_converged,episode_final_tracking_rmse,episode_status,evaluation_boundary_source,evaluation_status,execution_success,failure_reason,guide_crowd_safety_violation_count,heterogeneity,initial_endpoint_coverage_ratio,initial_endpoint_max_euclidean_boundary_distance,max_boundary_gap,max_euclidean_boundary_distance,method_status,metrics_position_source,minimum_guide_crowd_distance,minimum_guide_guide_distance,minimum_guide_wall_distance,minimum_inter_guider_distance,periodic_max_arc_gap,periodic_plan_status,plan_valid,radial_deployment_error,reserve_guide_count,resource_status,resource_unmet_target_count,resource_valid,safety_filter_status,safety_infeasible_steps,safety_max_residual_after,safety_projected_steps,sampled_safety_valid,scientific_success,seed,shape,truth_component_count
0,0.027777777777778314,ASSIGNMENT_SKIPPED_PLAN_INVALID,0,False,not_available,alpha_shape,BOUNDARY_INVALID,False,rectangle_circle.yaml,1.0,False,rectangle,0,False,not_available,BOUNDARY_INVALID,analytic_truth_safety_offset,valid,False,BOUNDARY_INVALID,0,True,1.0,1.2404751755343695,1.2404751755343695,1.2404751755343695,diagnostic_only,endpoint_baseline_no_episode,not_available,not_available,not_available,1.7313799577765903,not_available,PLAN_SKIPPED_BOUNDARY_INVALID,False,0.44500016208692506,0,RESOURCE_SKIPPED_BOUNDARY_INVALID,0,False,not_available,0,not_available,0,False,False,4,circle,1
0,0.055555555555556024,ASSIGNMENT_SKIPPED_PLAN_INVALID,0,False,not_available,alpha_shape,BOUNDARY_INVALID,False,rectangle_ellipse.yaml,0.9638888888888889,False,rectangle,0,False,not_available,BOUNDARY_INVALID,analytic_truth_safety_offset,valid,False,BOUNDARY_INVALID,0,True,0.9638888888888889,1.5484249821571174,1.5484249821571174,1.5484249821571174,diagnostic_only,endpoint_baseline_no_episode,not_available,not_available,not_available,1.4654771753772116,not_available,PLAN_SKIPPED_BOUNDARY_INVALID,False,0.6607832497260803,0,RESOURCE_SKIPPED_BOUNDARY_INVALID,0,False,not_available,0,not_available,0,False,False,0,ellipse,1
11,0.175417211434207,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,square_irregular.yaml,0.9916666666666667,True,square,37,True,0.003937424904728417,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.9805555555555555,1.3392885055887729,1.2955050735154447,1.2955050735154447,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000032330968,1.095117601758059,5.6675096355693375,1.095117601758059,2.3989617262624563,VALID,True,0.5857581302719385,1,VALID,0,True,ENABLED_PR5,0,1.1102230246251565e-16,37,True,True,4,irregular,1
10,0.2707924546913967,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_circle.yaml,1.0,True,rectangle,35,True,0.0058097565242361945,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,1.0,1.204427328877884,1.207337003128289,1.207337003128289,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000046354087,0.98432146895738,4.254345439307839,0.98432146895738,2.335455751488862,VALID,True,0.4231322622797263,2,VALID,0,True,ENABLED_PR5,0,4.163336342344337e-17,35,True,True,2,circle,1
10,0.2709262138088916,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_circle.yaml,0.9986111111111111,True,rectangle,35,True,0.002395126355007015,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.9916666666666667,1.3238507271980524,1.2503721255560076,1.2503721255560076,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000081584099,1.0198494600919583,4.35713021971687,1.0198494600919583,2.314839550243317,VALID,True,0.46564471243292727,2,VALID,0,True,ENABLED_PR5,0,5.551115123125783e-17,35,True,True,3,circle,1
10,0.23004045305340182,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_ellipse.yaml,0.9875,True,rectangle,39,True,0.0019035434761005899,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.9402777777777778,1.5858373023773085,1.297241474746426,1.297241474746426,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000040974975,1.0496597314536915,4.784451962748834,1.0496597314536915,2.4761974582162054,VALID,True,0.6261366237767302,2,VALID,0,True,ENABLED_PR5,0,5.551115123125783e-17,39,True,True,1,ellipse,1
10,0.21909309450570563,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_ellipse.yaml,0.9861111111111112,True,rectangle,36,True,0.002109166068394464,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.9208333333333333,1.6350234717231935,1.3416967356033804,1.3416967356033804,converged_pr5_safety_filtered_episode,episode_final_frame,0.850000063139295,0.8375231579436235,3.5344998224573914,0.8375231579436235,2.4737188205965026,VALID,True,0.7984752813612195,2,VALID,0,True,ENABLED_PR5,0,2.7755575615628914e-17,36,True,True,2,ellipse,1
11,0.22872379746003385,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_ellipse.yaml,1.0,True,rectangle,36,True,0.003199837022748191,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.9569444444444445,1.670698891375467,1.1925630072693956,1.1925630072693956,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000325824557,0.660033775301564,4.9348754181022105,0.660033775301564,2.2841971086590362,VALID,True,0.7126553237209402,1,VALID,0,True,ENABLED_PR5,0,6.938893903907228e-17,36,True,True,3,ellipse,1
10,0.2252545349855195,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_ellipse.yaml,0.9847222222222223,True,rectangle,41,True,0.0033202817426534158,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.9666666666666667,1.4470889114397922,1.321432303696628,1.321432303696628,converged_pr5_safety_filtered_episode,episode_final_frame,0.850000031752953,1.1343557180118602,5.104123795363167,1.1343557180118602,2.481381413644126,VALID,True,0.694835422625272,2,VALID,0,True,ENABLED_PR5,0,8.326672684688674e-17,41,True,True,4,ellipse,1
10,0.29619714284347876,VALID,0,True,bootstrap_estimated_pr6,alpha_shape,VALID,True,rectangle_concave.yaml,0.8819444444444444,True,rectangle,36,True,0.0017235469829671446,CONVERGED,analytic_truth_safety_offset,valid,True,none,0,True,0.8791666666666667,1.9904691904856493,2.0762107734621993,2.0762107734621993,converged_pr5_safety_filtered_episode,episode_final_frame,0.8500000233946573,1.1311583386712953,4.908357775893791,1.1311583386712953,2.457480940507942,VALID,True,0.6213270857331863,2,VALID,0,True,ENABLED_PR5,0,2.7755575615628914e-17,35,True,True,2,concave,1
