shape,seed,variant,min_observation_coverage,valid,boundary_status,boundary_reason,boundary_method,curve_chamfer,curve_hausdorff,length_relative_error,confidence_mean,confidence_min,uncertainty_mean,plan_status,plan_h_initial,plan_h_final,plan_iterations,plan_max_arc_gap
c_shape,12,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.3482868940139682,1.34701387659161,0.34970808239998175,1.0,1.0,0.0,VALID,2.149898133859826,2.110715844697248,65,1.3633517715566583
c_shape,13,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.13442058410866597,0.4618479237741033,0.09118591499051014,0.38606837249827064,0.15,0.14774252189424206,VALID,4.053091037554306,4.00098955958238,210,1.5881586007746762
c_shape,13,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.13442058410866597,0.4618479237741033,0.09118591499051014,0.38606837249827064,0.15,0.14774252189424206,VALID,4.053091037554306,4.000989098831532,88,1.5878628336593366
c_shape,13,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.13442058410866597,0.4618479237741033,0.09118591499051014,1.0,1.0,0.0,VALID,4.053091037554306,4.000989098831532,88,1.5878628336593366
c_shape,13,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.35903206545898425,1.1071489275472493,0.2992979679347787,1.0,1.0,0.0,VALID,2.6896325061490343,2.640613458717334,65,1.4690377212054742
c_shape,14,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.09059231278225577,0.2751118550196042,0.0453205723817494,0.3940411918895086,0.15,0.15469552874019538,VALID,4.698225991929594,4.6378317168661845,263,1.6682749703518809
c_shape,14,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.09059231278225577,0.2751118550196042,0.0453205723817494,0.3940411918895086,0.15,0.15469552874019538,VALID,4.698225991929594,4.6378309303656735,88,1.6679978954753558
c_shape,14,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.09059231278225577,0.2751118550196042,0.0453205723817494,1.0,1.0,0.0,VALID,4.698225991929594,4.6378309303656735,88,1.6679978954753558
c_shape,14,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.3660768792260659,1.1431652687525897,0.31892487840017997,1.0,1.0,0.0,VALID,2.4698914333238005,2.424877207386073,65,1.4278894577425927
c_shape,15,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.13118627789130605,0.4586132489938093,0.08847027781590656,0.3836392885701863,0.15,0.15159367527926104,VALID,4.089532968684774,4.036963134896887,237,1.592840113426425
c_shape,15,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.13118627789130605,0.4586132489938093,0.08847027781590656,0.3836392885701863,0.15,0.15159367527926104,VALID,4.089532968684774,4.036962573851563,88,1.592607543727521
c_shape,15,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.13118627789130605,0.4586132489938093,0.08847027781590656,1.0,1.0,0.0,VALID,4.089532968684774,4.036962573851563,88,1.592607543727521
c_shape,15,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.3724294658434698,1.0318853134421055,0.3404691195822405,1.0,1.0,0.0,VALID,2.242839615079849,2.2019634503168386,65,1.3827214668950223
c_shape,16,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.12851847771571,0.4949989822994827,0.11388340646243408,0.38109734409594065,0.15,0.1130924347545149,VALID,3.7569361905570764,3.70864188141967,231,1.5484709053390304
c_shape,16,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.12851847771571,0.4949989822994827,0.11388340646243408,0.38109734409594065,0.15,0.1130924347545149,VALID,3.7569361905570764,3.7086412824555564,88,1.5482062045202838
c_shape,16,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.12851847771571,0.4949989822994827,0.11388340646243408,1.0,1.0,0.0,VALID,3.7569361905570764,3.7086412824555564,88,1.5482062045202838
c_shape,16,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.36263757163057353,1.0878950665113807,0.3127834700274809,1.0,1.0,0.0,VALID,2.5373104361691525,2.491067486496595,65,1.4407650598501416
c_shape,17,alpha_bootstrap_gain,0.8,True,VALID,valid,alpha_shape,0.12032570890632813,0.38129956700987855,0.02373787766868755,0.37465164734395995,0.15,0.14467002148780225,VALID,5.024126083889493,4.959542376701281,245,1.7059668020176453
c_shape,17,alpha_bootstrap_no_gain,0.8,True,VALID,valid,alpha_shape,0.12032570890632813,0.38129956700987855,0.02373787766868755,0.37465164734395995,0.15,0.14467002148780225,VALID,5.024126083889493,4.959541620591512,88,1.7057067727367894
c_shape,17,alpha_neutral,0.8,True,VALID,valid,alpha_shape,0.12032570890632813,0.38129956700987855,0.02373787766868755,1.0,1.0,0.0,VALID,5.024126083889493,4.959541620591512,88,1.7057067727367894
c_shape,17,radial_neutral,0.6,True,VALID,valid,radial_adapter,0.355731184874004,1.1004383283885386,0.31660981724802395,1.0,1.0,0.0,VALID,2.4951635696291694,2.4496887543561243,65,1.4327430360166424
