pair,source,seed,run_success,run_error,episode_status,method_status,boundary_v2_status,resource_status,coverage_ratio,max_euclidean_boundary_distance,radial_deployment_error,angular_uniformity_error,minimum_inter_guider_distance,guide_crowd_safety_violation_count,active_guide_count,periodic_max_arc_gap,episode_final_tracking_rmse,safety_projected_steps,safety_infeasible_steps
ellipse,synthetic,4,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9861111111111112,1.3821838160706899,0.32931709621125976,0.05555555555555575,1.6269467473472663,0.0,0.0,,,0.0,0.0
ellipse,jupedsim,4,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9916666666666667,1.319811485671333,0.46925127729603716,0.027777777777778526,1.5052365181117495,0.0,0.0,,,0.0,0.0
ellipse,synthetic,5,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,1.0,1.2431390735377246,0.4476471817189642,0.11111111111111173,1.4917724798814604,0.0,0.0,,,0.0,0.0
ellipse,jupedsim,5,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9291666666666667,1.7030357824894844,0.5253290408762625,0.3360834805385785,0.8230794681574394,0.0,7.0,2.481168322328516,0.0050049337913512645,34.0,0.0
ellipse,synthetic,6,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,1.0,1.2185767596321901,0.5837795888185789,0.08333333333333398,1.5870188905488403,0.0,0.0,,,0.0,0.0
ellipse,jupedsim,6,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,1.0,1.1791488900721085,0.566352346537923,0.05555555555555645,1.179341915344073,0.0,0.0,,,0.0,0.0
ellipse,synthetic,7,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9791666666666666,1.381270636334232,0.46828105560238137,0.08333333333333377,1.4524309446885832,0.0,0.0,,,0.0,0.0
ellipse,jupedsim,7,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9541666666666667,1.4990382518516925,0.6316267111010632,0.3222962437304411,0.7872144824917274,0.0,7.0,2.4920248786129644,0.002556445525351508,33.0,0.0
ellipse,synthetic,8,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9055555555555556,1.9521845779326983,0.45863327819343197,0.2435625841917512,1.1985841653411036,0.0,7.0,2.361975213092089,0.017758131303045436,37.0,0.0
ellipse,jupedsim,8,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.95,1.4672538158790138,0.6048393309150539,0.2885448784561033,1.1783579667629502,0.0,8.0,2.217894630844375,0.0038970266271931638,34.0,0.0
ellipse,synthetic,9,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9041666666666667,1.9468522860823327,0.4615669326026644,0.23802405940733376,1.027951668178014,0.0,7.0,2.4497074222714144,0.0024198033946957265,37.0,0.0
ellipse,jupedsim,9,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9513888888888888,1.483532290269373,0.5655000235228308,0.27900310616384183,1.1380421727494716,0.0,8.0,2.2238339751613747,0.0038258041011125965,34.0,0.0
ellipse,synthetic,10,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9916666666666667,1.2947474478911294,0.5256758686900704,0.13888888888889006,1.193953895653451,0.0,0.0,,,0.0,0.0
ellipse,jupedsim,10,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9611111111111111,1.596468640453528,0.5775284983735286,0.3237336897114951,1.0570285151186085,0.0,8.0,2.1974652379395607,0.0017651835595454365,34.0,0.0
ellipse,synthetic,11,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9944444444444445,1.2994726047896001,0.4736292941801848,0.08333333333333373,1.524343749716316,0.0,0.0,,,0.0,0.0
ellipse,jupedsim,11,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.925,1.809119695451635,0.49149945785456967,0.3905544942524103,1.0168025524989552,0.0,8.0,2.193601409405117,0.006316074669303029,36.0,0.0
ellipse,synthetic,12,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9861111111111112,1.3714793387709436,0.5792463817762986,0.05555555555555617,1.4669832173241328,0.0,0.0,,,0.0,0.0
ellipse,jupedsim,12,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9444444444444444,1.6871301520097204,0.4476304970757203,0.29658178559298437,0.9874490000717966,0.0,8.0,2.1929474675897715,0.0020484256826497236,35.0,0.0
ellipse,synthetic,13,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9375,1.7059773068384594,0.459364109353192,0.2808796074764511,0.9029544426397904,0.0,7.0,2.4944106620410036,0.001811158688167357,11.0,0.0
ellipse,jupedsim,13,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9513888888888888,1.428220107046386,0.5524468837649684,0.30988882685218155,0.9574595737991989,0.0,8.0,2.21716976286179,0.0019371333207682988,36.0,0.0
ellipse,synthetic,14,True,,TIMEOUT,diagnostic_only,VALID,VALID,0.9194444444444444,1.5842682870053433,0.5545583664693804,0.3286249877128987,1.129492558334631,0.0,7.0,2.2557699262106876,0.14183603518392104,400.0,0.0
ellipse,jupedsim,14,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9944444444444445,1.2821933840094066,0.5176904710172859,0.0833333333333343,1.5120500339300582,0.0,0.0,,,0.0,0.0
ellipse,synthetic,15,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9958333333333333,1.282906013667696,0.4904258712886748,0.08333333333333409,1.3443565203760741,0.0,0.0,,,0.0,0.0
ellipse,jupedsim,15,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9861111111111112,1.3919072111604829,0.49932517690742007,0.11111111111111156,1.6117883692739912,0.0,0.0,,,0.0,0.0
ellipse,synthetic,16,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9791666666666666,1.389611758194088,0.4655344881354093,0.11111111111111081,1.2646706098358929,0.0,0.0,,,0.0,0.0
ellipse,jupedsim,16,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9541666666666667,1.4250543577260404,0.5267195763043405,0.28601838372231436,1.0823239663588968,0.0,8.0,2.217295492122995,0.0024613884944801588,33.0,0.0
ellipse,synthetic,17,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9888888888888889,1.3050885861800368,0.49587530933363894,0.08333333333333325,1.1960735042468278,0.0,0.0,,,0.0,0.0
ellipse,jupedsim,17,True,,CONVERGED,converged_pr5_safety_filtered_episode,VALID,VALID,0.9708333333333333,1.401041694266071,0.5393043397727859,0.24956679556872607,1.02365172312117,0.0,8.0,2.2138841928112925,0.005570923980930954,31.0,0.0
ellipse,synthetic,18,True,,BOUNDARY_INVALID,diagnostic_only,BOUNDARY_INVALID,RESOURCE_SKIPPED_BOUNDARY_INVALID,0.9861111111111112,1.3519975034020717,0.5367191928956476,0.05555555555555599,1.5076354195047161,0.0,0.0,,,0.0,0.0
