active_guide_count,assignment_path_sum,boundary_valid,config,coverage_ratio,crowd_distance_pinned,crowd_span,deployment_length,environment,episode_control_steps,episode_final_tracking_rmse,episode_status,extra_steps_if_linear,failure_reason,final_assignment_max,final_assignment_mean,has_episode_trace,initial_assignment_max,initial_assignment_mean,initial_tracking_rmse,last50_mean_speed,last50_projected_frac,last50_velocity_sat_frac,max_target_displacement,mean_applied_speed,minimum_guide_crowd_distance,minimum_guide_guide_distance,minimum_guide_wall_distance,nominal_sat_frac,periodic_max_arc_gap,rmse_drop,rmse_final,rmse_initial,rmse_last50_drop,rmse_last50_rel,rmse_min,safety_infeasible_steps,safety_projected_frac,safety_projected_steps,scientific_success,seed,shape,stop_reason,time_to_10pct,time_to_50pct,timeout_class,tracking_error_nonincreasing,velocity_sat_frac
10.0,54.697389129737395,True,square_ellipse.yaml,0.8902777777777777,True,4.210394446661457,24.74592585505876,square,400.0,0.7838267711378991,TIMEOUT,inf,TIMEOUT,2.474437929858004,0.2629559702600794,True,7.977697150746476,5.46973891297374,5.764689373933219,1.4667915789670696e-07,1.0,0.0,0.0,0.10908756899616101,0.8500000009999991,0.6005066534941126,0.36449298894956583,0.17041666666666666,2.474592585505878,4.9808626027953204,0.7838267711378991,5.764689373933219,2.263424190296348e-07,2.887657860181299e-07,0.7838267711378991,0.0,0.8775,351.0,False,115,ellipse,maximum_steps_reached,,32,structural_safety_pin,True,0.09729166666666667
10.0,52.94683254912975,True,square_ellipse.yaml,0.8875,True,4.019647531291411,24.639017413581662,square,400.0,1.5720223685828043,TIMEOUT,inf,TIMEOUT,4.971160667725391,0.4986947459578369,True,6.977667446340974,5.294683254912975,5.492015571520097,7.414384250835793e-15,1.0,0.0,0.0,0.10001934759564693,0.8500000009999992,0.7681876851053531,0.38706066586741983,0.171875,2.4639017413581676,3.919993202937293,1.5720223685828043,5.492015571520097,0.0,0.0,1.5720223685828039,0.0,1.0,400.0,False,111,ellipse,maximum_steps_reached,,35,structural_safety_pin,True,0.08854166666666667
10.0,45.073600962367465,True,square_concave.yaml,0.8958333333333334,True,3.786709050436542,24.511618462296145,square,98.0,0.009881745268982842,CONVERGED,0.0,none,0.026903322618384833,0.004399350933590384,True,7.298496895490067,4.507360096236747,4.83780751551339,0.10680841009631759,0.58,0.056666666666666664,0.0,0.3845357736044544,0.8500000011040272,0.8745858051116796,0.5404508768245289,0.336734693877551,2.451161846229617,4.827925770244407,0.009881745268982842,4.83780751551339,1.0018350292560996,0.9902326960293591,0.009881745268982842,0.0,0.4387755102040816,43.0,True,106,concave,hold_window_satisfied,59,29,not_timeout,True,0.32568027210884354
10.0,47.53986303554763,True,square_concave.yaml,0.8708333333333333,True,3.662797946195965,24.549386162883373,square,100.0,0.00730247107809026,CONVERGED,0.0,none,0.022692458752153217,0.0029162653345524343,True,7.437198673963838,4.753986303554763,5.039426731921065,0.10691069784814386,0.5,0.06,0.0,0.39594939197068724,0.850000001087978,1.6615446167631935,0.8741417305897266,0.3458333333333333,2.454938616288338,5.032124260842974,0.00730247107809026,5.039426731921065,1.0610155137225805,0.9931645154514058,0.00730247107809026,0.0,0.25,25.0,True,105,concave,hold_window_satisfied,62,29,not_timeout,True,0.3458333333333333
10.0,45.749285525363774,True,square_ellipse.yaml,0.8916666666666667,True,4.292251801939355,24.90202737762715,square,400.0,1.4709271159214237,TIMEOUT,inf,TIMEOUT,4.651473561749556,0.4662558445590429,True,7.423402067995789,4.574928552536377,4.867624277061011,6.96621273703371e-15,1.0,0.0,0.0,0.0865405160888232,0.850000000999999,0.7053661670761122,1.060123025279296,0.15166666666666667,2.490202737762715,3.396697161139587,1.4709271159214237,4.867624277061011,0.0,0.0,1.4709271159214237,0.0,0.9425,377.0,False,119,ellipse,maximum_steps_reached,,30,structural_safety_pin,True,0.073125
10.0,55.70338445301834,True,square_concave.yaml,0.9,True,3.720655719338962,24.486558378993138,square,103.0,0.005541063848300571,CONVERGED,0.0,none,0.016630217051928377,0.002771452700698239,True,7.717903261596059,5.570338445301834,5.783432274909483,0.13737121341250527,1.0,0.07333333333333333,0.0,0.4506821736074012,0.8500000010006326,0.7681876851053531,0.38706066586741983,0.40129449838187703,2.4486558378993166,5.777891211061182,0.005541063848300571,5.783432274909483,1.1193593125776762,0.9950741737095816,0.005541063848300571,0.0,0.4854368932038835,50.0,True,111,concave,hold_window_satisfied,62,32,not_timeout,True,0.40048543689320387
11.0,58.478453529266375,True,square_concave.yaml,0.9805555555555555,True,3.6280382866465937,26.41012321779693,square,111.0,0.00396312246074098,CONVERGED,0.0,none,0.008989112947032328,0.002243455358248356,True,7.224866537948374,5.316223048115125,5.469432618171603,0.06746010206721331,1.0,0.01,0.0,0.4425573453566919,0.850000001000046,0.7884511618637694,0.2889143543357882,0.40015015015015015,2.4009202925269957,5.465469495710862,0.00396312246074098,5.469432618171603,0.6479149607557051,0.9939204545101649,0.00396312246074098,0.0,0.7657657657657657,85.0,True,108,concave,hold_window_satisfied,66,30,not_timeout,True,0.37762762762762764
10.0,53.186522727620684,True,square_concave.yaml,0.8652777777777778,True,3.73397363583694,24.564441224246117,square,101.0,0.0039269188016325205,CONVERGED,0.0,none,0.011049804581724344,0.002030637880882774,True,7.575079225219517,5.318652272762068,5.482352610713077,0.11853090725082197,0.82,0.065,0.0,0.4387969483791769,0.8500000010001427,1.378895157300573,1.034082306498739,0.38943894389438943,2.456444122424614,5.478425691911444,0.0039269188016325205,5.482352610713077,1.0743650084016345,0.9963582043947806,0.0039269188016325205,0.0,0.4752475247524752,48.0,True,110,concave,hold_window_satisfied,61,30,not_timeout,True,0.38531353135313534
11.0,52.26913512879982,True,square_concave.yaml,0.8958333333333334,True,3.772324459066339,25.812751743248235,square,400.0,0.9104881179561573,TIMEOUT,inf,TIMEOUT,3.0195397742192234,0.28106419799107524,True,7.273714596522736,4.75173955716362,5.016357286025951,8.345205176626041e-15,1.0,0.0,0.0,0.10372695863029331,0.8500000009999988,0.8497784840298046,0.4554619787632781,0.17020833333333332,2.3466137948407493,4.105869168069793,0.9104881179561573,5.016357286025951,0.0,0.0,0.9104881179561573,0.0,0.98,392.0,False,107,concave,maximum_steps_reached,,30,structural_safety_pin,True,0.08645833333333333
11.0,44.73810389395575,True,square_concave.yaml,0.975,True,3.6294755442852416,26.834841381838025,square,86.0,0.0037102832596186135,CONVERGED,0.0,none,0.011203950707374944,0.0019479742912087282,True,6.071572623911084,4.067100353995977,4.27576754179955,0.17198214528387457,1.0,0.08333333333333333,0.0,0.43763697483355163,0.8500000011169092,1.7577145262706482,0.734550270321197,0.37887596899224807,2.439531034712548,4.272057258539932,0.0037102832596186135,4.27576754179955,1.267966168866645,0.9970823685117273,0.0037102832596186135,0.0,0.7558139534883721,65.0,True,116,concave,hold_window_satisfied,51,24,not_timeout,True,0.35271317829457366
